id,title,make,model,year,body_type,color,fuel,transmission,engine_cc,mileage_km,price,price_currency,price_note,city,image,detail_url,scraped_at
9390126,Honda Vezel 2016 for sale in Bahawalpur,Honda,Vezel,2016,Sedan,Black,Hybrid,Automatic,1500,100000,6550000,Pkr,converted_from_lacs,Bahawalpur,https://cache3.pakwheels.com/ad_pictures/1418/honda-vezel-hybrid-z-honda-sensing-2016-141850230.jpg,https://www.pakwheels.com/used-cars/honda-vezel-2016-for-sale-in-bahawalpur-11370845,2026-05-21 16:47:41
11360091,Daihatsu Move 2022 for sale in Bahawalpur,Daihatsu,Move,2022,Hatchback,White,Petrol,Automatic,660,34000,3779000,Pkr,converted_from_lacs,Bahawalpur,https://cache4.pakwheels.com/ad_pictures/1428/daihatsu-move-x-5-2022-142825414.jpg,https://www.pakwheels.com/used-cars/daihatsu-move-2022-for-sale-in-bahawalpur-11435750,2026-05-21 16:47:41
10947727,Haval H6 2024 for sale in Islamabad,Haval,H6,2024,Suv,Silver,Hybrid,Automatic,1500,12000,10800000,Pkr,converted_from_lacs,Islamabad,https://cache1.pakwheels.com/ad_pictures/1439/haval-h6-hev-2025-143906314.jpg,https://www.pakwheels.com/used-cars/haval-h6-2024-for-sale-in-islamabad-11503954,2026-05-21 16:47:41
11513446,Honda Civic 2021 for sale in Multan,Honda,Civic,2021,Sedan,Grenada Black Pearl,Petrol,Automatic,1800,70000,6300000,Pkr,converted_from_lacs,Multan,https://cache3.pakwheels.com/ad_pictures/1440/honda-civic-oriel-1-8-i-vtec-cvt-2021-144002014.jpg,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-multan-11510204,2026-05-21 16:47:41
11513438,Honda Civic 2012 for sale in Lahore,Honda,Civic,2012,Sedan,Crystal Black,Petrol,Automatic,1800,150000,2885000,Pkr,converted_from_lacs,Lahore,https://cache1.pakwheels.com/ad_pictures/1440/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2012-144049073.jpg,https://www.pakwheels.com/used-cars/honda-civic-2012-for-sale-in-lahore-11513225,2026-05-21 16:47:41
11513440,Honda City 2000 for sale in Lahore,Honda,City,2000,Sedan,White,Petrol,Manual,1300,10000,1100000,Pkr,converted_from_lacs,Lahore,https://cache4.pakwheels.com/ad_pictures/1423/honda-city-exi-2-2000-142324758.jpg,https://www.pakwheels.com/used-cars/honda-city-2000-for-sale-in-lahore-11397909,2026-05-21 16:47:41
11513430,Toyota Raize 2020 for sale in Islamabad,Toyota,Raize,2020,Compact Suv,Fire Quartz Red Metallic,Petrol,Automatic,1000,78000,5540000,Pkr,converted_from_lacs,Islamabad,https://cache3.pakwheels.com/ad_pictures/1435/toyota-raize-g-65-2020-143598914.jpg,https://www.pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-islamabad-11481820,2026-05-21 16:47:42
11513445,Honda Civic 2021 for sale in Faisalabad,Honda,Civic,2021,Sedan,Taffeta White,Petrol,Automatic,1800,66000,6480000,Pkr,converted_from_lacs,Faisalabad,https://cache2.pakwheels.com/ad_pictures/1432/honda-civic-oriel-1-8-i-vtec-cvt-2021-143292599.jpg,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-faisalabad-11465193,2026-05-21 16:47:42
11513420,Toyota Fortuner 2021 for sale in Lahore,Toyota,Fortuner,2021,Suv,Attitude Black,Diesel,Automatic,2800,89000,15250000,Pkr,direct,Lahore,https://cache3.pakwheels.com/ad_pictures/1391/toyota-fortuner-2-8-sigma-2021-139188549.jpg,https://www.pakwheels.com/used-cars/toyota-fortuner-2021-for-sale-in-lahore-11205600,2026-05-21 16:47:42
11513432,Toyota Vitz 2008 for sale in Multan,Toyota,Vitz,2008,Hatchback,Blue Metallic,Petrol,Automatic,1000,150000,2490000,Pkr,converted_from_lacs,Multan,https://cache1.pakwheels.com/ad_pictures/1440/toyota-vitz-1-0-f-2008-144024047.jpg,https://www.pakwheels.com/used-cars/toyota-vitz-2008-for-sale-in-multan-11511600,2026-05-21 16:47:42
